. Like we 're being watched .	Away put your weapon . I mean you no harm .
I 'm looking for someone .	Looking ? Looking ? You 've found someone I 'd say . Heh ? Yes !
Looking ? Looking ? You 've found someone I 'd say . Heh ? Yes !	Yeah .
Yeah .	Help you I can . yes . yes .
Help you I can . yes . yes .	I 'm looking for a great warrior .
I 'm looking for a great warrior .	A great warrior ? Not many on those . Wars don't make one great .
Listen , friend , we didn't mean to land here , and if I could get my fighter out of this puddle I would , but I can't . So .	Can't get your ship out ? Have you tried ? Have you tried ?
Give me that !	Mine ! Mine ! Or I 'll help you not .
I don't want your help . I want my lamp back . I 'll need it in this slimy mudhole .	Mudhole ? Slimy ? My home this is .
Mine , mine .	Okay , Artoo , let him have it . Now get out of here , little fellow , we 've got things to do .
Okay , Artoo , let him have it . Now get out of here , little fellow , we 've got things to do .	No , no ! I 'll stay and help you find your friend .
No , no ! I 'll stay and help you find your friend .	I 'm not looking for a friend . I 'm looking for a Jedi Master .
I 'm not looking for a friend . I 'm looking for a Jedi Master .	Oh , a Jedi Master . Different altogether . Yoda you seek , Yoda .
Oh , a Jedi Master . Different altogether . Yoda you seek , Yoda .	You know the Jedi Master ?
You know the Jedi Master ?	Of course , yes . But now eat we must . Good food , I have good food . Come , come .
. I told you , I 'm not hungry .	Patience . It 's time to eat .
Patience . It 's time to eat .	Look , it smells good . I 'm sure it 's delicious But I don't know why we can't see Yoda now .
Look , it smells good . I 'm sure it 's delicious But I don't know why we can't see Yoda now .	It 's the Jedi 's time to eat , too .
It 's the Jedi 's time to eat , too .	Will it take long to get there ? How far away is he ?
Will it take long to get there ? How far away is he ?	Not far , not far . Be patient . Soon you will see him . Why wish you become a Jedi ?
Not far , not far . Be patient . Soon you will see him . Why wish you become a Jedi ?	Because of my father , I guess .
Because of my father , I guess .	Oh , your father . a powerful Jedi was he , powerful Jedi .
Oh , your father . a powerful Jedi was he , powerful Jedi .	How could you know my father ? You don't even know who I am . Can't we get on with this already ?
Yes sir !	Sergeant , is Commander Skywalker back yet ?
Sergeant , is Commander Skywalker back yet ?	I haven't seen him . He probably came in through the south entrance .
I haven't seen him . He probably came in through the south entrance .	Probably isn't good enough , Sergeant . Check on it !
Commander Skywalker hasn't come through the south entrance , sir . Maybe he slipped by without checking in .	Not likely ! Where are the speeders ?
Not likely ! Where are the speeders ?	We haven't got them adapted to this cold yet .
We haven't got them adapted to this cold yet .	We 'll have to go out on Tauntauns .
We 'll have to go out on Tauntauns .	The temperature is dropping too fast .
The temperature is dropping too fast .	You bet it is . and Luke 's out in it .
The night storms will start before you can reach the first marker .	Then I 'll see you in Hell .
What is thy bidding , My Master ?	There is a grave disturbance in The Force .
There is a grave disturbance in The Force .	I have felt it .
I have felt it .	Our situation is most precarious . We have a new enemy who could bring about our destruction .
Our situation is most precarious . We have a new enemy who could bring about our destruction .	Our destruction ? Who ?
Our destruction ? Who ?	The son of Skywalker . You must destroy him . or he will be our undoing .
The son of Skywalker . You must destroy him . or he will be our undoing .	He 's not a Jedi , he 's just a boy . Obi-wan could not have taught him so much that .
He 's not a Jedi , he 's just a boy . Obi-wan could not have taught him so much that .	You are weak ! I have seen it . The Force is strong with him . He must be destroyed .
You are weak ! I have seen it . The Force is strong with him . He must be destroyed .	But , if he could be turned , he would be a powerful ally .
But , if he could be turned , he would be a powerful ally .	Yes . yes . That would be a great asset .
Yes . yes . That would be a great asset .	He will join us or die , My Master .
Captain Solo . What 's the situation ?	There isn't a hint of life in the area . But all the perimeter markers are set , so you 'll know if anyone comes calling .
There isn't a hint of life in the area . But all the perimeter markers are set , so you 'll know if anyone comes calling .	Good , and Commander Skywalker ?
Good , and Commander Skywalker ?	He 's checking out a meteorite that hit near him . He 'll be in soon .
He 's checking out a meteorite that hit near him . He 'll be in soon .	With all the meteor activity in this system , it 's going to be difficult to spot approaching ships .
With all the meteor activity in this system , it 's going to be difficult to spot approaching ships .	The Empire won't look for you out here . I 'd say you 're all set . which means it 's time for me to get going .
That 's right .	You 're an extraordinary fighter . I hate to lose you .
You 're an extraordinary fighter . I hate to lose you .	Thank you , General . But there 's a price on my head . If I don't pay off Jabba the Hutt , I 'm a walking dead man .
Thank you , General . But there 's a price on my head . If I don't pay off Jabba the Hutt , I 'm a walking dead man .	I understand . A death mark is not an easy thing to live with . Until our paths cross again , may the force be with you .
Whatever it is , it isn't friendly . I 'm going to have a look . Come on , Chewie .	Wait . I 'll send a patrol with you .
Wait . I 'll send a patrol with you .	Fine . But they 'll have to take care of themselves .
Captain Solo , sir . Might I have a word with you ?	What is it ?
What is it ?	Mistress Leia has been trying to reach you on the communicator , but either you have it turned off , or it is malfunctioning . if it 's damaged , Artoo , could fix it , if you like .
Mistress Leia has been trying to reach you on the communicator , but either you have it turned off , or it is malfunctioning . if it 's damaged , Artoo , could fix it , if you like .	I shut it off . What 's her royal holiness want ?
I shut it off . What 's her royal holiness want ?	She is looking for Master Luke , and assumed he would be here with you . No one seems to know .
I don't know , Artoo . Sir , might I inquire what 's going on ?	Go tell your precious Princess . Luke is dead unless he shows up soon .
He doesn't make sense to me either , Chewie .	I do hope he 's all there . if you take my meaning . I would hate to see Master Luke develop a short circuit .
I do hope he 's all there . if you take my meaning . I would hate to see Master Luke develop a short circuit .	The kid ran into something mean , and it wasn't the cold .
Transport XJ . get out of here . Go !	The energy shield is down . We 'll be stuck here forever .
Sir , I was wondering .	Sit down , and shut up !
Sit down , and shut up !	It can wait .
I think we 're in trouble .	If I may say so , Sir , I noticed earlier that the entire main para- light system seems to be damaged .
If I may say so , Sir , I noticed earlier that the entire main para- light system seems to be damaged .	We 're in trouble !
What are you so grouchy about ?	Sir , I 'm almost afraid to ask , but does shutting down all but emergency power systems include me ?
You , too , golden rod .	I must admit there are times I don't understand human behavior .
It sounds like it 's trying to get in .	I 'm going to see what it is .
We 're doomed . Goodbye , Mistress Leia . Goodbye , Captain .	Not collapsing , honey . It 's closing ! This is no cave .
I can see the edge of the asteroid field , sir .	Good . Soon as we 're clear , we 'll kick this baby into hyperdrive .
Yes , Your Highness ?	You said you were going to stay . What happened ?
You said you were going to stay . What happened ?	That bounty hunter we ran into on Ord Mantell changed my mind .
That bounty hunter we ran into on Ord Mantell changed my mind .	Does Luke know ?
Does Luke know ?	He 'll know when he gets back . Don't give me that look . Every day more bounty hunters are searching for me . If I don't pay off Jabba soon , there 'll be too many to stop . Remotes , Gank killers , and who knows what else . I 've got to get that price off my head while I still have a head .
He 'll know when he gets back . Don't give me that look . Every day more bounty hunters are searching for me . If I don't pay off Jabba soon , there 'll be too many to stop . Remotes , Gank killers , and who knows what else . I 've got to get that price off my head while I still have a head .	Han , we need you here .
Han , we need you here .	We ?
We ?	Yes .
Yes .	Not you ?
Not you ?	Me ? I don't know what you mean .
Me ? I don't know what you mean .	You probably don't . How could you ? You 're so terrified of your own emotions .
You probably don't . How could you ? You 're so terrified of your own emotions .	And what are they , pray tell ?
And what are they , pray tell ?	You want me to stay because of the way you feel about me .
You want me to stay because of the way you feel about me .	I respect you . You 're a bold fighter , maybe not the brightest , but . HAN No , your worship . That 's not what I 'm talking about .
